"","REGION","STATEFIP","METRO","OWNERSHP","RENT","FOODSTMP","VEHICLES","FAMSIZE","NCHILD","SEX","AGE","MARST","MARRNO","RACE","CITIZEN","SPEAKENG","HCOVANY","EDUC","GRADEATT","EMPSTAT","UHRSWORK","INCTOT","FTOTINC","INCWELFR","POVERTY","VETDISAB","DIFFREM","VETSTAT","UTILITIES","HHINCOME"
"117","1",18,"0",2,0,"0",1,"3",0,"0",18,"0",0,"1","0","1","0",6,6,"0",0,0,55000,0,"1","0",1,1,1670,NA
"118","1",18,"0",1,0,"0",3,"4",0,"0",19,"0",0,"1","0","1","0",7,6,"0",0,0,102000,0,"1","0",1,1,4183.25,NA
"119","1",18,"0",2,780,"0",0,"1",0,"0",18,"0",0,"1","0","1","0",6,6,"0",0,0,0,0,"0","0",2,1,5146.5,NA
"120","1",18,"0",1,0,"0",2,"3",1,"0",42,"0",1,"8","0","1","0",7,6,"2",15,7700,42700,0,"1","0",2,1,6166.25,NA
"121","1",18,"0",1,0,"0",5,"5",3,"0",56,"0",1,"1","0","1","0",11,7,"1",40,44800,129900,0,"1","0",1,1,2910.75,NA
"122","1",18,"0",1,0,"0",5,"5",0,"0",24,"0",0,"1","0","1","0",10,6,"1",50,23000,129900,0,"1","0",1,1,2910.75,NA
"123","1",18,"0",1,0,"0",5,"5",0,"0",22,"0",0,"1","0","1","0",7,6,"1",30,14100,129900,0,"1","0",1,1,2910.75,NA
"124","1",18,"0",1,0,"0",5,"5",0,"0",19,"0",0,"1","0","1","0",6,6,"0",0,0,129900,0,"1","0",1,1,2910.75,NA
"125","1",18,"0",1,0,"0",2,"4",2,"0",30,"0",1,"1","0","1","0",11,6,"1",10,7500,124100,0,"1","0",1,1,6051.5,NA
"126","1",18,"0",0,0,"0",0,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"1",30,3500,0,0,"0","0",1,1,0,NA
"127","1",18,"0",0,0,"0",0,"1",0,"0",24,"0",0,"1","0","1","0",7,6,"0",40,31000,0,0,"0","0",1,1,0,NA
"128","1",18,"0",1,0,"0",2,"2",0,"0",40,"0",1,"8","0","1","0",8,6,"2",30,18000,29000,0,"1","0",1,1,702.5,NA
"129","1",18,"0",1,0,"0",3,"1",0,"0",20,"0",0,"2","0","1","0",8,6,"0",0,0,0,0,"0","0",1,1,5543.75,NA
"130","1",18,"0",1,0,"0",3,"1",0,"0",19,"0",0,"2","0","1","0",7,6,"0",0,0,0,0,"0","0",1,1,5543.75,NA
"131","1",18,"0",0,0,"0",0,"1",0,"0",20,"0",0,"1","1","1","0",7,6,"0",0,0,0,0,"0","0",1,1,0,NA
"132","1",18,"0",2,500,"0",2,"2",0,"0",20,"0",0,"1","0","1","0",7,6,"1",30,1800,22800,0,"1","0",1,1,3128.25,NA
"133","1",18,"0",0,0,"0",0,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"0",5,300,0,0,"0","0",1,1,0,NA
"134","1",18,"0",1,0,"0",2,"3",0,"0",49,"0",1,"1","0","1","0",6,6,"1",15,6800,28600,0,"1","0",1,1,3308.25,NA
"135","1",18,"0",1,0,"0",1,"3",0,"0",18,"0",0,"1","0","1","0",4,5,"0",0,0,12000,0,"0","0",1,1,2868.25,NA
"136","1",18,"0",2,550,"0",1,"2",0,"0",27,"0",1,"4","0","1","0",11,7,"1",10,18000,18000,0,"1","0",1,1,2748.25,NA
"137","1",18,"0",2,550,"0",1,"2",0,"0",26,"0",1,"4","0","1","0",10,7,"0",0,0,18000,0,"1","0",1,1,2748.25,NA
"138","1",18,"0",2,630,"0",0,"1",0,"0",36,"0",1,"6","0","1","0",11,7,"1",10,540,540,0,"0","0",1,1,9995,NA
"139","1",18,"0",2,450,"0",1,"1",0,"0",32,"0",1,"1","0","1","0",7,7,"0",34,15000,15000,0,"1","0",2,1,2970.75,NA
"140","1",18,"0",0,0,"0",0,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"0",40,4300,0,0,"0","0",1,1,0,NA
"141","1",18,"0",1,0,"0",3,"4",2,"0",36,"0",1,"1","0","1","0",10,6,"1",45,52000,92000,0,"1","0",1,2,4453.25,NA
"142","1",18,"0",2,480,"0",4,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"1",35,3200,3200,0,"0","0",1,1,9997,NA
"143","1",18,"0",2,480,"0",4,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"0",0,0,0,0,"0","0",1,1,9997,NA
"144","1",18,"0",2,480,"0",4,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"1",8,1300,1300,0,"0","0",1,1,9997,NA
"145","1",18,"0",2,1000,"0",2,"1",0,"0",37,"0",0,"1","0","1","0",6,6,"2",40,15000,15000,0,"1","0",1,1,5477.5,NA
"146","1",18,"0",2,1000,"0",2,"1",0,"0",23,"0",0,"1","0","1","0",7,6,"1",40,30000,30000,0,"1","0",1,1,5477.5,NA
"147","1",18,"0",0,0,"0",0,"1",0,"0",21,"0",1,"1","0","1","0",7,6,"0",30,1100,0,0,"0","0",1,1,0,NA
"148","1",18,"0",2,350,"0",1,"1",0,"0",50,"0",3,"1","0","1","0",7,6,"2",0,500,500,0,"0","0",1,1,7915.75,NA
"149","1",18,"0",1,0,"0",3,"5",3,"0",41,"0",2,"1","0","1","0",8,6,"1",43,42500,87500,0,"1","0",1,1,4073.25,NA
"150","1",18,"0",1,0,"0",3,"5",0,"0",21,"0",0,"1","0","1","0",8,6,"1",20,8000,87500,0,"1","0",1,1,4073.25,NA
"151","1",18,"0",1,0,"0",3,"5",0,"0",18,"0",0,"1","0","1","0",5,5,"1",20,8000,87500,0,"1","0",1,1,4073.25,NA
"152","1",18,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",7,6,"0",0,0,0,0,"0","0",1,1,0,NA
"153","1",18,"0",1,0,"0",3,"3",0,"0",20,"0",0,"1","0","1","0",6,6,"1",45,4000,82000,0,"1","0",1,1,3228.25,NA
"154","1",18,"0",0,0,"0",0,"1",0,"0",18,"0",0,"1","0","1","0",6,6,"1",20,640,0,0,"0","0",1,1,0,NA
"155","1",18,"0",1,0,"0",3,"4",1,"0",23,"0",0,"1","0","1","0",6,6,"1",32,4500,63000,0,"1","0",1,1,3163.25,NA
"156","1",18,"0",2,800,"0",2,"1",0,"0",26,"0",0,"1","0","1","0",10,7,"1",40,10000,10000,0,"0","0",1,1,5207.5,NA
"157","1",18,"0",2,800,"0",2,"1",0,"0",26,"0",0,"7","0","1","0",7,6,"1",40,37000,37000,0,"1","0",1,1,5207.5,NA
"158","1",18,"0",0,0,"0",0,"1",0,"0",19,"0",0,"2","0","1","0",6,6,"0",0,0,0,0,"0","0",1,1,0,NA
"159","1",18,"0",1,0,"0",4,"5",0,"0",18,"0",0,"1","0","1","0",5,5,"1",8,320,91220,0,"1","0",1,1,1180,NA
"160","1",18,"0",1,0,"0",0,"7",0,"0",18,"0",0,"1","0","1","0",6,5,"0",0,0,112100,0,"1","0",1,1,8904.75,NA
"161","1",18,"0",0,0,"0",0,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"0",16,2500,0,0,"0","0",1,1,0,NA
"162","1",18,"0",2,610,"0",1,"1",0,"0",24,"0",0,"1","0","1","0",11,7,"1",40,16000,16000,0,"1","0",1,1,9993,NA
"163","1",18,"0",0,0,"0",0,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"0",0,0,0,0,"0","0",1,1,0,NA
"164","1",18,"0",1,0,"0",4,"4",0,"0",18,"0",0,"1","0","1","0",5,5,"0",40,500,119500,0,"1","0",1,1,8694.75,NA
"165","1",18,"0",1,0,"0",2,"5",0,"0",18,"0",0,"1","0","1","0",5,5,"1",10,500,193500,0,"1","0",1,1,2978.25,NA
"166","1",18,"0",2,380,"0",2,"1",0,"0",23,"0",0,"1","0","1","0",7,6,"0",0,8100,8100,0,"0","0",1,1,3548.25,NA
"167","1",18,"0",2,380,"0",2,"1",0,"0",32,"0",0,"1","0","1","0",6,6,"1",25,10800,10800,0,"0","0",1,1,3548.25,NA
"168","1",18,"0",1,0,"0",1,"3",2,"0",34,"0",1,"1","0","1","0",7,6,"2",25,6600,6600,0,"0","0",1,1,3353.25,NA
"169","1",18,"0",2,440,"0",1,"1",0,"0",22,"0",0,"1","0","1","0",7,6,"1",25,4500,4500,0,"0","0",1,1,7705.75,NA
